Rating,Title,Review
5.0,"5.0 out of 5 stars
Good Mobile (If you have budget go for it. don't buy to impress or on EMI (not worth it))","As I was aware that what I need and what I was paying for, I needed a quality mobile with best hardware and software combination.I need the OS to be clean without any bloatware which I got.I don't play games. For moderate use of Social media, whatsapp, youtube, audible (audio books), music while exercising, Battery life is around 2 days or sometimes more than 2 days. If you are a gamer or use mobile a lot you might need to charge your mobile everyday.Camera is good. So far the pictures I took the quality is good.Not explore the processor's capacity yet but Never hanged or never will for me (not a heavy user so won't be a problem)."
5.0,"5.0 out of 5 stars
Amazing Lightning fast phone",The phone is really good it had some overheating issue as heard but not faced any it was due to software update now it is all fixed I still did not had any issue regarding overheating. The phone is really fast and the battery life is awesome. The new action button is really handy and useful. The camera is the best camera an iPhone ever had the photos are stunning and spectacular…. I am satisfied with the phone..
5.0,"5.0 out of 5 stars
Best Smart Phone ever","It’s a fantastic phone…the feel and comfort in hand is awesome…looks stunning…also the brand appeal of Apple is fabulous. Camera is the best, performance is over the top…really fast and the games you can play are of play station’s…can any other phone do that…also the video quality is very nice…"
5.0,"5.0 out of 5 stars
Nam hi kafi hai",Ultimate performance but some bug issue in 17.2.1 update and FB is not functioning properly….😏😏😏😏😏Lot of BUG issues are experienced in this phone and needs to correct it.
5.0,"5.0 out of 5 stars
Awesome camera and best quality phone","I recently switched from android to iphone. So i am liking the good audio quality, camera and everything."
1.0,"1.0 out of 5 stars
Disgusting Experience",The box had a different colour. I order black Titanium....box was black Titanium but phone was natural titanium inside ...It's heart wrenching...Trust shaken...The phone looks usedIt can happen with Apple product also...it's a shock.
4.0,"4.0 out of 5 stars
Incremental Upgrade with Enhanced Camera","I recently upgraded to the Apple 15 Pro Max, and while the enhanced camera is undoubtedly impressive, but I feel that it falls short of delivering a truly groundbreaking experience. If you're already using the 13 pro or 14 Pro, there seems to be little incentive to make the leap.The camera improvements are noteworthy, capturing detail and clarity like never before. However, beyond this feature, the 15 Pro Max doesn't offer a significant leap in terms of innovation. Personally, I find the Pro versions more manageable in hand, and the Max variant, although boasting a larger screen, can be a bit unwieldy.In essence, the 15 Pro Max is a solid device with a stellar camera, but for those already enjoying the perks of the previous Pro models, the upgrade might not feel as compelling."
5.0,"5.0 out of 5 stars
Best iphone in the world",I like in this phone best cameraAnd back glass is not too strong andIt is mild then other iphone's
4.0,"4.0 out of 5 stars
Packing is bad",Packing is bad. There's a tampered package within a new package. The tampered package contained the phone. But the phone is looking good
4.0,"4.0 out of 5 stars
Heating issue not solved after update. Using more than 2 month.",Camera quality is best
4.0,"4.0 out of 5 stars
Good product",Good product
5.0,"5.0 out of 5 stars
Good",Good
5.0,"5.0 out of 5 stars
Stylish one..best battery backup..sleek than 14 pro max",
5.0,"5.0 out of 5 stars
Ultimate performance",It’s around 2months I have been using this device and it has been working flawlessly. No heating issues or such. Totally worth the upgrade because of the camera.
5.0,"5.0 out of 5 stars
Superb phone !",It’s a great buy. I upgraded from XS Max and am so glad I decided to get this. It’s pricey but worth it. Very powerful battery too
3.0,"3.0 out of 5 stars
Hitting",Hitting problem watching video and charging
5.0,"5.0 out of 5 stars
Best phone money can buy at the moment",
5.0,"5.0 out of 5 stars
Amazing phone",This is my 1 st pro iPhone. And so far I’m really impressed with the performance and simplicity of the product.
5.0,"5.0 out of 5 stars
Performance",Performance very strong Charging
3.0,"3.0 out of 5 stars
iPhone 15 pro max",Camera Quality not good
5.0,"5.0 out of 5 stars
Dr Gajanan Ghule","Lightning fast,titanium tantrums"
5.0,"5.0 out of 5 stars
Super fast charging and performance , best battery life",Fast charging
5.0,"5.0 out of 5 stars
Get rid of false reviews . The phone is just awesome as usual .",Superb
5.0,"5.0 out of 5 stars
A nice phone","We have received the iPhone 15 Pro Max, natural titanium color, and 256 GB storage capacity. The phone is good-looking and fast. It gets charged with the Apple 20W USB-C Power Adapter  (purchased separately). It also charges well using my 3-year-old Mi wireless charger (Qi charging). Overall, we are happy with the iPhone."
5.0,"5.0 out of 5 stars
Nice product",Battery 10/10Cemra 10/10Performance 10/10Disign 10/10Display 10/10Agar pese hai to isse Badiya phone nahi hai market ne Phil haal
5.0,"5.0 out of 5 stars
Nice phone.",I have purchased natural titanium and it's really awesome. My first phone purchased with my hardwork.
5.0,"5.0 out of 5 stars
Good phone",No heating issue till now running well with the new software update I have installed lots of apps and the ph is running well
1.0,"1.0 out of 5 stars
Defective product",Got a defective product where the camera doest load
1.0,"1.0 out of 5 stars
Screen got scratched","The media could not be loaded.
                



 Didn't use a screen guard for a week and found a scratch on the screen. What a stupid phone. 160k phone and you will get a scratch without even holding the phone. Better get a screen guard the day you receive the phone."
5.0,"5.0 out of 5 stars
Khandani raees 🫨",Don’t worry about negative reviews go and get new one people comparing with android 😂 android was built by Samsung to operate washing machine. Redmi was economic brand to play candy crush….. 10 saal mai 10 phone badlme se acha 2 phone badlo….. indians are those people who buy cheap maruti cars for best resale value and mileage but cannot buy expensive apple for best resale valie and user friendly experience…. Inko sb sasta mai cahiye😂😂😂 this image quality of iphone beat this with android
1.0,"1.0 out of 5 stars
Amazon sent me an old unit","box damaged, no new device smell. Completely ruined my unboxing experience. But the phone is amazing."
